,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2014,16,Deportivo La Coruna,38,7,14,17,35,60,35,37.8712378,2.871237800000003,32.5058868,50.979304199999994,-9.020695800000006,46.5197612,-14.013874399999997,9.872519602819814,7.921498201535551,133,188,43.52490000000001,8.52490000000001
La_liga,2014,17,Granada,38,7,14,17,29,64,35,37.3872751,8.387275099999997,32.9275981,54.283784000000004,-9.716215999999996,51.310678,-18.3830799,8.924796294868555,7.551742401644589,117,206,45.7345,10.734499999999997
La_liga,2014,18,Eibar,38,9,8,21,34,55,35,29.5601069,-4.439893099999999,28.0735569,53.71796199999999,-1.2820380000000071,50.001574999999995,-21.928018099999996,9.636161419876487,8.056607783421207,106,225,35.65370000000001,0.6537000000000077
La_liga,2014,19,Almeria,38,8,8,22,35,64,32,38.66994449999999,3.6699444999999926,34.21026549999999,58.866805,-5.133195000000001,57.38025,-23.1699845,8.761424561450731,6.230163608502943,136,220,39.325500000000005,7.325500000000005
La_liga,2014,20,Cordoba,38,3,11,24,22,68,20,29.7645145,7.764514500000001,27.5346865,57.33977599999999,-10.660224000000007,52.137326,-24.602639500000002,11.606826266670419,7.530367498117108,91,253,36.29120000000001,16.29120000000001
La_liga,2015,1,Barcelona,38,29,4,5,112,29,91,113.59827,1.5982699999999994,99.47702,34.029090100000005,5.029090100000005,33.2859401,66.1910799,6.012151909468335,15.064389542698626,570,163,94.38,3.3799999999999955
La_liga,2015,2,Real Madrid,38,28,6,4,110,34,90,90.454148,-19.545851999999996,83.76463799999999,45.23378199999999,11.23378199999999,42.260670999999995,41.503966999999996,9.251966893412055,14.571880585412604,404,211,79.09270000000001,-10.907299999999992
La_liga,2015,3,Atletico Madrid,38,28,4,6,63,18,88,54.92736500000001,-8.072634999999991,53.44093500000001,27.797051999999997,9.797051999999997,27.053774,26.387161,8.834883908940133,9.045123902718023,261,170,72.2803,-15.719700000000003
La_liga,2015,4,Villarreal,38,18,10,10,44,35,64,40.488814,-3.511186000000002,38.258973000000005,41.630788,6.630788000000003,39.400958,-1.1419849999999996,9.924385958226543,9.034771594108912,188,215,52.1071,-11.892899999999997
La_liga,2015,5,Athletic Club,38,18,8,12,58,45,62,53.896614,-4.103386,50.039775000000006,45.326224,0.3262240000000034,40.123397000000004,9.916378000000002,8.1123201064645,9.674713458534475,221,174,58.23810000000002,-3.761899999999983
La_liga,2015,6,Celta Vigo,38,17,9,12,51,59,60,50.20347000000001,-0.79652999999999,46.487210000000005,51.98172580000001,-7.018274199999993,48.265454800000015,-1.7782448000000013,6.435314606547314,11.222888296863319,321,245,53.080999999999996,-6.919000000000004
La_liga,2015,7,Sevilla,38,14,10,14,51,50,52,62.970634,11.970633999999997,57.76783,46.088285600000006,-3.911714399999994,43.85844560000001,13.909384400000002,8.600500029023522,8.957717525987354,296,216,63.63629999999999,11.636299999999991
La_liga,2015,8,Malaga,38,12,12,14,38,35,48,45.75188399999999,7.75188399999999,42.77877099999999,45.25460600000001,10.25460600000001,43.76818,-0.9894089999999983,7.83013294058133,7.261826846638328,196,191,53.0801,5.080100000000002
La_liga,2015,9,Real Sociedad,38,13,9,16,45,48,48,47.947143999999994,2.9471439999999944,47.203863999999996,48.036505,0.03650499999999823,42.822658000000004,4.381206,8.157426954128177,9.268504881207775,185,183,52.75030000000001,4.75030000000001
La_liga,2015,10,Real Betis,38,11,12,15,34,52,45,40.112455100000005,6.112455100000005,37.1393511,64.394609,12.394609000000003,63.651329000000004,-26.511977899999998,11.124883653663153,6.627317033432557,152,283,40.488,-4.5120000000000005
La_liga,2015,11,Valencia,38,11,11,16,46,48,44,50.508099,4.508099000000001,46.636374999999994,61.685717000000004,13.685717000000004,58.586166000000006,-11.949791,9.061171747361184,7.278318840048795,203,250,46.72509999999999,2.7250999999999905
La_liga,2015,12,Las Palmas,38,12,8,18,45,53,44,38.676393000000004,-6.3236069999999955,34.94910300000001,59.23681529999999,6.236815299999989,56.26372229999999,-21.314619300000004,10.079552235791619,8.927858357891038,228,250,41.17930000000001,-2.820699999999988
La_liga,2015,13,Espanyol,38,12,7,19,40,74,43,46.091860000000004,6.091860000000004,43.86202200000001,60.842278,-13.157722,56.382991000000004,-12.520969000000001,8.504199708180982,7.50859744963642,186,219,43.1508,0.15079999999999671
La_liga,2015,14,Eibar,38,11,10,17,49,61,43,52.916666,3.9166659999999993,46.843993,50.580983,-10.419016999999997,47.45241999999999,-0.6084270000000003,7.804410334637706,7.974348621324925,191,218,54.02529999999999,11.025299999999987
La_liga,2015,15,Deportivo La Coruna,38,8,18,12,45,61,42,43.74708699999999,-1.2529130000000066,43.00381399999999,52.374036999999994,-8.625963000000006,49.400918999999995,-6.397104999999999,11.324321016787865,8.739138471099283,166,240,46.07909999999998,4.079099999999983
La_liga,2015,16,Sporting Gijon,38,10,9,19,40,62,39,42.5678716,2.5678715999999966,40.98176659999999,60.616727000000004,-1.3832729999999955,53.043757,-12.061990399999997,11.566715504623806,6.814093478366836,132,265,40.6074,1.6073999999999984
La_liga,2015,17,Granada,38,10,9,19,46,69,39,41.353233,-4.646766999999997,36.15041899999999,62.374919999999996,-6.625080000000004,58.65852399999999,-22.508105,8.9992449432851,7.241976115576661,117,268,38.4994,-0.5005999999999986
La_liga,2015,18,Rayo Vallecano,38,9,11,18,52,73,38,52.2594408,0.25944080000000014,49.8896658,65.08895700000001,-7.911042999999992,58.399829,-8.510163200000001,6.963565825291231,9.270395219273048,157,240,45.7753,7.775300000000001
La_liga,2015,19,Getafe,38,9,9,20,37,67,36,41.773185999999995,4.7731859999999955,40.286629,63.348645,-3.6513550000000023,55.775808,-15.489179,9.866715449685875,7.230706595147382,159,229,40.87899999999999,4.878999999999991
La_liga,2015,20,Levante,38,8,8,22,37,70,32,39.22221329999999,2.222213299999993,37.735650299999996,63.545101,-6.4548989999999975,58.242861,-20.507210699999998,10.851727587375509,7.5910244975095775,169,272,37.3269,5.326900000000002
La_liga,2016,1,Real Madrid,38,29,6,3,106,41,93,90.86640999999999,-15.133590000000012,84.92033999999998,36.862559000000005,-4.1374409999999955,33.889828,51.030512000000016,9.74243924598858,13.4075334164639,333,173,86.17009999999999,-6.829900000000009
La_liga,2016,2,Barcelona,38,28,6,4,116,37,90,93.551594,-22.448406000000006,86.86223400000003,31.315663300000004,-5.684336699999996,31.315663300000004,55.546570700000004,6.702330217409409,15.710111355512119,552,144,87.9535,-2.0464999999999947
La_liga,2016,3,Atletico Madrid,38,23,9,6,70,27,78,60.6589,-9.341099999999997,54.53281,31.336168499999996,4.336168499999996,28.363577499999995,26.169232500000003,9.954443662371872,8.828842703081074,265,168,69.10210000000002,-8.897899999999979
La_liga,2016,4,Sevilla,38,21,9,8,69,49,72,59.094825,-9.905175,55.270584,38.704635,-10.295364999999997,34.870096000000004,20.400487999999996,6.97983493590817,10.788850101732493,338,201,66.17879999999998,-5.821200000000019
La_liga,2016,5,Villarreal,38,19,10,9,56,33,67,52.228736999999995,-3.7712630000000047,46.282513,43.1643821,10.164382099999997,38.70473609999999,7.5777769,11.527583287821749,10.59270360048253,268,260,59.57190000000001,-7.4280999999999935
La_liga,2016,6,Real Sociedad,38,19,7,12,59,53,64,45.58364529999999,-13.416354700000007,39.6379283,43.7127224,-9.287277600000003,38.3785894,1.2593389,7.096117847057872,11.220293953585088,229,168,54.9358,-9.0642
La_liga,2016,7,Athletic Club,38,19,6,13,53,43,63,51.08126600000001,-1.9187339999999935,45.135026,40.455375999999994,-2.544624000000006,37.96999299999999,7.165033,7.993490614988314,9.94240019558706,233,167,60.5416,-2.4583999999999975
La_liga,2016,8,Espanyol,38,15,11,12,49,50,56,32.5531964,-16.446803600000003,29.5800924,38.347978999999995,-11.652021000000005,36.86142099999999,-7.281328599999999,11.621521184367461,8.024812780117776,117,254,46.9231,-9.076900000000002
La_liga,2016,9,Alaves,38,14,13,11,41,43,55,42.601105499999996,1.6011054999999956,39.62826649999999,43.968918,0.9689180000000022,39.509381,0.11888550000000009,12.401874814323945,7.9209830685317515,110,248,52.79099999999999,-2.2090000000000103
La_liga,2016,10,Eibar,38,15,9,14,56,51,54,42.980348000000006,-13.019651999999994,36.892681,45.170127300000004,-5.829872699999996,40.710463300000015,-3.8177822999999997,7.821399926224079,9.458058160776154,157,218,50.0492,-3.950800000000001
La_liga,2016,11,Malaga,38,12,10,16,49,55,46,40.369333999999995,-8.630666000000005,36.534783,47.34811859999999,-7.651881400000008,42.145161599999994,-5.610378599999999,8.76631980954002,8.537794224195338,167,198,45.74660000000001,-0.2533999999999921
La_liga,2016,12,Valencia,38,13,7,18,56,65,46,50.339573,-5.6604269999999985,45.880026,50.961089300000005,-14.038910699999995,41.15729830000001,4.722727700000002,9.849351042189193,8.670477773416387,174,230,53.387600000000006,7.387600000000006
La_liga,2016,13,Celta Vigo,38,13,6,19,53,69,45,40.480753,-12.519247,35.2780471,55.97525799999999,-13.02474200000001,48.534578,-13.256530900000001,8.830990180312298,10.243297927267026,206,241,42.630199999999995,-2.369800000000005
La_liga,2016,14,Las Palmas,38,10,9,19,53,74,39,40.796914,-12.203085999999999,36.337239000000004,58.394146,-15.605854,50.218214,-13.880975,10.230977404818498,10.03451175817299,270,211,42.108500000000014,3.1085000000000136
La_liga,2016,15,Real Betis,38,10,9,19,41,64,39,35.71540500000001,-5.284594999999989,34.22884700000001,48.268066,-15.731934000000003,44.452251,-10.223403999999999,9.142622111885323,8.284595438721023,181,217,44.5618,5.561799999999998
La_liga,2016,16,Deportivo La Coruna,38,8,12,18,43,61,36,40.9953521,-2.004647900000002,35.6612241,48.604222,-12.395778,46.374385,-10.713160899999998,10.113410391439746,8.90967485577662,103,232,51.15729999999999,15.157299999999992
La_liga,2016,17,Leganes,38,8,11,19,36,55,35,33.1895923,-2.810407699999999,30.2167313,46.385886299999996,-8.614113700000004,41.011210399999996,-10.794479099999998,9.207090662466863,7.5263902233988365,165,164,40.946099999999994,5.946099999999994
La_liga,2016,18,Sporting Gijon,38,7,10,21,42,72,31,36.354798,-5.645201999999998,31.0043,64.432069,-7.5679310000000015,57.742839,-26.738539000000003,9.532080707223514,7.762877161177517,201,247,33.859899999999996,2.859899999999996
La_liga,2016,19,Osasuna,38,4,10,24,40,94,22,33.129606,-6.8703939999999974,28.670334000000004,64.824913,-29.175087000000005,58.135549,-29.465214999999993,11.472048212234006,6.877610706940522,136,270,31.642300000000002,9.642300000000002
La_liga,2016,20,Granada,38,4,8,26,30,82,20,29.686114200000002,-0.31388579999999777,28.8432872,74.02516999999999,-7.974830000000011,71.052059,-42.208771800000015,12.012297570052395,8.256404423687092,113,307,26.4951,6.495100000000001
La_liga,2017,1,Barcelona,38,28,9,1,99,29,93,90.486752,-8.513248000000004,86.77036199999999,41.62082,12.620820000000002,40.134388,46.635974000000004,9.109882605332539,13.939373439479967,528,188,79.4375,-13.5625
La_liga,2017,2,Atletico Madrid,38,23,10,5,58,22,79,50.29048,-7.709519999999998,46.57409000000001,35.483819999999994,13.483819999999994,32.510845999999994,14.063244000000003,10.569970716243386,9.87349128092797,257,233,61.5989,-17.4011
La_liga,2017,3,Real Madrid,38,22,10,6,94,44,76,91.28737,-2.7126300000000043,83.70159,45.097867999999984,1.097867999999984,42.12476669999998,41.5768233,9.30338211909132,13.999744400887838,453,188,79.98939999999999,3.989399999999989
La_liga,2017,4,Valencia,38,22,7,9,65,38,73,57.76337360000001,-7.236626399999992,51.8179286,47.89020199999999,9.890201999999988,44.17382199999999,7.644106599999999,10.621505450547712,8.630357941487558,234,250,58.234300000000005,-14.765699999999995
La_liga,2017,5,Villarreal,38,18,7,13,57,50,61,55.669445999999986,-1.3305540000000136,51.953571999999994,54.236571000000005,4.236571000000005,48.290865200000006,3.6627068000000014,9.649503439793085,11.540659141891522,230,257,54.960100000000004,-6.039899999999996
La_liga,2017,6,Real Betis,38,18,6,14,60,61,60,46.715464,-13.284536000000003,44.485641,49.760221200000004,-11.239778799999996,46.6235352,-2.1378942,9.809805688256073,12.713700427579646,183,236,50.5059,-9.494100000000003
La_liga,2017,7,Sevilla,38,17,7,14,49,58,58,61.491077999999995,12.491077999999995,57.774681,54.032522,-3.967478,48.086304999999996,9.688376000000002,9.087484049432916,11.414897329838334,350,233,58.6109,0.6109000000000009
La_liga,2017,8,Getafe,38,15,10,13,42,33,55,49.029456999999994,7.029456999999994,39.946565899999996,39.6481411,6.648141099999997,36.675024099999995,3.2715418000000005,9.517908178234672,5.579030861649312,189,208,57.5273,2.5272999999999968
La_liga,2017,9,Eibar,38,14,9,15,44,50,51,41.423519999999996,-2.5764800000000037,39.193686,45.53158100000001,-4.46841899999999,42.55860200000001,-3.364915999999999,7.367009279838197,12.008982722435068,149,168,50.78559999999999,-0.21440000000001191
La_liga,2017,10,Girona,38,14,9,15,50,59,51,52.098753,2.098753000000002,46.15254100000001,51.60399700000001,-7.396002999999993,47.88772600000001,-1.735185,9.570753075196416,8.705767451709619,137,236,53.029599999999995,2.029599999999995
La_liga,2017,11,Celta Vigo,38,13,10,15,59,60,49,54.5900082,-4.4099918,52.3608332,57.68385800000001,-2.316141999999992,53.96746600000001,-1.6066328000000016,10.474937577601755,11.51022326912616,250,274,48.82859999999999,-0.17140000000001265
La_liga,2017,12,Espanyol,38,12,13,13,36,42,49,41.57666200000001,5.576662000000013,39.183232000000004,53.371869000000004,11.371869000000004,48.91220299999999,-9.728970999999998,10.878138876047046,9.337775531243617,175,219,44.6792,-4.320799999999998
La_liga,2017,13,Real Sociedad,38,14,7,17,66,59,49,56.348762000000015,-9.651237999999985,52.632492000000006,51.13120399999998,-7.868796000000017,44.89770599999999,7.734785999999998,9.640149742447813,12.743521584429892,243,195,55.8397,6.839700000000001
La_liga,2017,14,Alaves,38,15,2,21,40,50,47,37.879523,-2.120477000000001,35.649694,58.200749,8.200749000000002,50.767956,-15.118262,11.997596010452448,6.875615653453493,134,277,39.0254,-7.974600000000002
La_liga,2017,15,Levante,38,11,13,14,44,58,46,44.202161,0.2021609999999967,40.485893,65.115931,7.115931000000003,60.657301,-20.171408,12.536207618084713,7.64864696346827,179,283,41.81830000000001,-4.181699999999992
La_liga,2017,16,Athletic Club,38,10,13,15,41,49,43,51.78561799999999,10.785617999999992,45.83952899999999,50.707842,1.7078419999999994,46.248179,-0.4086500000000002,8.78152695975603,10.213549707871778,208,204,54.12700000000001,11.12700000000001
La_liga,2017,17,Leganes,38,12,7,19,34,51,43,39.25696089999999,5.256960899999989,37.0271209,48.7653586,-2.234641400000001,43.563339600000006,-6.536218700000001,10.806508218307197,7.306291080412079,145,186,44.575799999999994,1.5757999999999939
La_liga,2017,18,Deportivo La Coruna,38,6,11,21,38,76,29,49.775169,11.775168999999998,46.058785,60.87390899999999,-15.12609100000001,57.15753199999999,-11.098747000000003,11.097662584368917,9.285734990706654,217,277,49.15869999999999,20.15869999999999
La_liga,2017,19,Las Palmas,38,5,7,26,24,74,22,37.8752152,13.8752152,31.929123200000003,74.429371,0.4293710000000033,70.713121,-38.783997799999995,9.145376239279278,8.971902843210092,215,230,31.053199999999997,9.053199999999997
La_liga,2017,20,Malaga,38,5,5,28,24,61,20,35.876437,11.876437000000003,31.293488000000004,60.236375,-0.7636249999999976,54.880164,-23.586675999999997,10.538918104914005,8.20495991141666,122,256,35.8316,15.831600000000002
La_liga,2018,1,Barcelona,38,26,9,3,90,36,87,83.279534,-6.720466000000002,76.584704,44.93095,8.930950000000003,43.4444,33.14030400000001,9.01526390151714,16.404884844687324,417,171,73.96039999999999,-13.039600000000007
La_liga,2018,2,Atletico Madrid,38,22,10,6,55,29,76,51.872324,-3.127676000000001,48.730936,41.434059000000005,12.434059000000005,37.71779400000001,11.013142,11.066204538602875,11.104778106436122,252,190,59.4276,-16.572400000000002
La_liga,2018,3,Real Madrid,38,21,5,12,63,46,68,68.65477299999999,5.654772999999992,61.965525,48.67575300000001,2.6757530000000074,42.72966400000001,19.235861,8.896578362734848,14.782500589542508,341,168,64.7728,-3.2271999999999963
La_liga,2018,4,Valencia,38,15,16,7,51,35,61,61.88494899999999,10.884948999999992,56.56901899999999,42.854366999999996,7.854366999999996,36.908409999999996,19.660608999999997,12.964657587277863,9.474006705870321,278,215,65.1616,4.161600000000007
La_liga,2018,5,Sevilla,38,17,8,13,62,47,59,69.162306,7.162306000000001,64.54245300000001,46.710732,-0.28926799999999986,41.508815,23.033638,10.65203081464584,10.020620488210044,321,211,65.07809999999999,6.078099999999992
La_liga,2018,6,Getafe,38,15,14,9,48,35,59,47.03417800000001,-0.9658219999999886,42.57815100000001,44.22604100000001,9.22604100000001,39.02311,3.5550409999999992,8.766903297859301,5.700771442750934,186,196,53.1872,-5.812800000000003
La_liga,2018,7,Espanyol,38,14,11,13,48,50,53,50.157346,2.157345999999997,47.184228000000004,54.61608600000001,4.61608600000001,48.548747000000006,-1.364519,9.856488791776902,9.819171281248202,241,241,50.08829999999999,-2.9117000000000104
La_liga,2018,8,Athletic Club,38,13,14,11,41,45,53,44.441323999999994,3.4413239999999945,38.91707899999999,47.158818000000004,2.1588180000000037,43.442428,-4.525348999999998,8.304491872691997,11.302557686903405,221,185,50.01219999999999,-2.987800000000007
La_liga,2018,9,Real Sociedad,38,13,11,14,45,46,50,47.987101,2.9871010000000027,40.554466,48.09443999999999,2.0944399999999916,45.683969999999995,-5.129504000000001,9.943556360727678,9.48877103532691,194,208,51.12550000000001,1.1255000000000095
La_liga,2018,10,Alaves,38,13,11,14,39,50,50,40.873013,1.8730130000000003,38.643174,54.532087999999995,4.532087999999995,50.07242099999999,-11.429247,11.228230078782055,7.0967098226913485,129,270,44.0162,-5.983800000000002
La_liga,2018,11,Real Betis,38,14,8,16,44,52,50,51.67742500000001,7.677425000000007,46.35324500000001,53.544731999999996,1.5447319999999962,49.828349,-3.475103999999999,9.316620850951312,12.381684934755219,241,220,52.3904,2.3903999999999996
La_liga,2018,12,Eibar,38,11,14,13,46,50,47,56.63360599999999,10.633605999999993,50.687380999999995,47.884204999999994,-2.1157950000000056,44.91108499999999,5.776295999999998,7.067694653568081,11.22432396160439,235,177,56.75300000000001,9.753000000000007
La_liga,2018,13,Leganes,38,11,12,15,37,43,45,41.249284,4.249284000000003,37.533149,43.93660099999999,0.9366009999999889,40.79521999999999,-3.2620710000000006,12.471570785777814,9.964576074877924,155,190,51.14569999999999,6.145699999999991
La_liga,2018,14,Levante,38,11,11,16,59,66,44,54.088913000000005,-4.911086999999995,48.88635900000001,78.86325499999998,12.863254999999981,72.01381799999999,-23.127458999999998,10.581995110215345,7.043106727634993,206,295,40.23330000000001,-3.766699999999993
La_liga,2018,15,Villarreal,38,10,14,14,49,52,44,54.79973999999999,5.799739999999993,50.32650399999999,56.118148,4.118147999999998,52.402151,-2.075647,11.152921069614612,11.173710155519865,232,263,52.179899999999996,8.179899999999996
La_liga,2018,16,Celta Vigo,38,10,11,17,53,62,41,48.699852000000014,-4.300147999999986,43.49692900000001,63.42950000000001,1.4295000000000115,58.22655400000001,-14.729625000000004,10.772791434260554,11.755188285583776,195,248,41.626,0.6259999999999977
La_liga,2018,17,Real Valladolid,38,10,11,17,32,51,41,41.641546999999996,9.641546999999996,36.438739,57.64732499999999,6.647324999999988,50.82946199999999,-14.390723,11.450773336204,9.834414454214564,139,243,41.7997,0.7997000000000014
La_liga,2018,18,Girona,38,9,10,19,37,53,37,42.986638,5.986637999999999,38.527246999999996,55.334056000000004,2.334056000000004,49.387950000000004,-10.860702999999999,11.390453112552802,9.856544635171401,177,261,45.1656,8.165599999999998
La_liga,2018,19,SD Huesca,38,7,12,19,43,65,33,51.37756899999999,8.377568999999987,46.17501199999999,63.425214000000004,-1.574785999999996,56.735985,-10.560972999999997,10.221756055844528,8.701259696940417,171,259,44.9625,11.962499999999999
La_liga,2018,20,Rayo Vallecano,38,8,8,22,41,70,32,47.233183000000004,6.233183000000004,43.51769100000001,62.318235,-7.681764999999999,54.001658,-10.483967,9.531583380516217,7.522984466152093,133,253,43.015,11.015
La_liga,2019,1,Real Madrid,38,26,9,3,70,25,87,72.15721800000001,2.1572180000000145,63.981449,33.146266,8.146265999999997,31.659709999999997,32.321739,9.262201903346336,14.476896911683774,334,127,77.6868,-9.313199999999995
La_liga,2019,2,Barcelona,38,25,7,6,86,38,82,72.009449,-13.990550999999996,67.54978100000001,37.823949000000006,-0.17605099999999396,32.620992,34.928788999999995,8.25698835911264,17.96159753017072,440,146,73.1381,-8.861900000000006
La_liga,2019,3,Sevilla,38,19,13,6,54,34,70,55.155506,1.1555060000000026,49.952825000000004,36.617301,2.6173009999999977,33.628775,16.32405,8.411132881656778,12.64235712018878,238,148,65.705,-4.295000000000002
La_liga,2019,4,Atletico Madrid,38,18,16,4,51,27,70,58.700962999999994,7.7009629999999945,52.739450999999995,31.515192,4.515191999999999,28.542602999999996,24.196848000000003,9.68666457392411,10.994450336769816,264,162,72.3506,2.3506
La_liga,2019,5,Villarreal,38,18,6,14,63,49,60,65.606501,2.6065009999999944,57.430565,48.589864999999996,-0.4101350000000039,41.8326854,15.5978796,10.900010043110615,12.067332101309582,218,228,64.0527,4.0527000000000015
La_liga,2019,6,Real Sociedad,38,16,8,14,56,48,56,50.915670999999996,-5.084329000000004,47.199543,41.885105,-6.114894999999997,35.196377999999996,12.003165000000001,8.649489058298101,11.924640540762097,231,192,57.17829999999999,1.178299999999993
La_liga,2019,7,Granada,38,16,8,14,52,45,56,45.021406999999996,-6.978593000000004,41.305020999999996,43.439237,-1.5607630000000015,39.723106,1.5819150000000004,10.176947001763747,7.772831901195273,135,197,52.596899999999984,-3.4031000000000162
La_liga,2019,8,Getafe,38,14,12,12,43,37,54,45.191234,2.1912340000000015,39.886634,43.0233834,6.0233834,38.56398539999999,1.322648599999999,7.005995471558769,6.3021446634857305,176,119,53.7878,-0.21220000000000283
La_liga,2019,9,Valencia,38,14,11,13,46,53,53,45.57625499999999,-0.4237450000000109,39.630146999999994,59.073642,6.0736419999999995,52.384285,-12.754138000000001,14.086310827191369,10.543273106814919,217,262,45.42909999999999,-7.570900000000009
La_liga,2019,10,Osasuna,38,13,13,12,46,54,52,49.038488,3.038488000000001,43.092265,49.58045100000001,-4.419548999999989,45.86407100000001,-2.7718059999999998,9.09790807709116,8.50695229418231,197,191,51.50969999999999,-0.49030000000001195
La_liga,2019,11,Athletic Club,38,13,12,13,41,38,51,42.095594999999996,1.0955949999999959,34.595138999999996,52.419298,14.419297999999998,47.216359999999995,-12.621221,9.713230736697204,10.22501820716951,122,205,44.6548,-6.345199999999998
La_liga,2019,12,Levante,38,14,7,17,47,53,49,49.427886,2.427886000000001,45.71175000000001,64.24935500000001,11.249355000000008,58.887592999999995,-13.175843,12.009367239143124,8.825311085972166,177,273,42.879000000000005,-6.120999999999995
La_liga,2019,13,Real Valladolid,38,9,15,14,32,43,42,35.657757999999994,3.657757999999994,31.041552999999993,53.937653999999995,10.937653999999995,47.99142499999999,-16.949871999999996,12.394396649501953,8.319263140191401,109,226,39.38280000000001,-2.6171999999999898
La_liga,2019,14,Eibar,38,11,9,18,39,56,42,42.34516200000001,3.345162000000009,34.751985,54.332816,-1.667183999999999,49.7158455,-14.963860500000003,8.973649108251534,9.55497742436619,141,197,42.907000000000004,0.9070000000000036
La_liga,2019,15,Real Betis,38,10,11,17,48,60,41,48.898528,0.8985279999999989,42.95267799999999,56.30371600000001,-3.6962839999999915,48.127908000000005,-5.175229999999998,10.362791901460806,11.853481466052175,236,216,47.937099999999994,6.937099999999994
La_liga,2019,16,Alaves,38,10,9,19,34,59,39,38.14706149999999,4.147061499999992,33.687779500000005,57.929676,-1.0703239999999994,46.780882999999996,-13.093103500000002,12.210774984466122,7.770151796992162,130,220,40.97700000000001,1.977000000000011
La_liga,2019,17,Celta Vigo,38,7,16,15,37,49,37,40.441182999999995,3.441182999999995,33.75169149999999,44.82971099999998,-4.170289000000018,41.113454,-7.361762499999999,10.54406558348422,9.694045218604684,188,215,47.2581,10.258099999999999
